city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
2077963,Albany,AU,-35.02,117.89,10/05/20,            41,86,60,4.7
978895,Margate,ZA,-30.86,30.37,10/05/20,            69.84,86,100,20.33
2409914,Bonthe,SL,7.53,-12.51,10/05/20,            78.42,80,99,6.46
964432,Port Alfred,ZA,-33.59,26.89,10/05/20,            64.89,85,29,8.59
4035715,Avarua,CK,-21.21,-159.78,10/05/20,            73.4,69,35,5.82
3370903,Jamestown,SH,-15.94,-5.72,10/05/20,            60.69,92,100,13.89
3892454,Diego de Almagro,CL,-26.37,-70.05,10/05/20,            82.78,15,5,11.83
485660,Tsimmerbude,RU,54.67,20.13,10/05/20,            59.86,93,75,6.71
3366880,Hermanus,ZA,-34.42,19.23,10/05/20,            57.99,91,4,2.48
3908339,Patacamaya,BO,-17.23,-67.92,10/05/20,            59.72,33,0,14.09
3883457,Lebu,CL,-37.62,-73.65,10/05/20,            49.77,70,0,16.35
2449893,Tessalit,ML,20.2,1.01,10/05/20,            95.63,20,10,9.1
2122090,Pevek,RU,69.7,170.31,10/05/20,            28.56,91,77,13.71
3372707,Ribeira Grande,PT,38.52,-28.7,10/05/20,            71.6,68,75,3.36
3492997,Samaná,DO,19.21,-69.34,10/05/20,            91.4,59,40,6.93
2630299,Hofn,IS,64.25,-15.21,10/05/20,            42.8,93,90,5.82
1507390,Dikson,RU,73.51,80.55,10/05/20,            33.66,89,100,33.46
3984997,San Quintín,MX,30.48,-115.95,10/05/20,            92.48,20,0,13.4
3382160,Cayenne,GF,4.93,-52.33,10/05/20,            80.6,78,75,3.36
6185377,Yellowknife,CA,62.46,-114.35,10/05/20,            39.52,80,90,11.41
3833367,Ushuaia,AR,-54.8,-68.3,10/05/20,            48.2,57,75,20.8
5870133,Nome,US,64.5,-165.41,10/05/20,            37.4,74,75,10.29
964420,Port Elizabeth,ZA,-33.92,25.57,10/05/20,            60.8,93,5,17.22
2206939,Bluff,NZ,-46.6,168.33,10/05/20,            48.99,73,73,15.01
1788852,Xining,CN,36.62,101.77,10/05/20,            44.67,61,100,5.48
3896218,Castro,CL,-42.47,-73.77,10/05/20,            44.69,76,90,17.22
2163355,Hobart,AU,-42.88,147.33,10/05/20,            35.56,84,1,6.93
2126199,Cherskiy,RU,68.75,161.3,10/05/20,            27.7,87,98,3.62
546105,Nikolskoye,RU,59.7,30.79,10/05/20,            60.6,87,90,6.71
933649,Khakhea,BW,-24.69,23.49,10/05/20,            65.61,83,100,10.85
3374210,São Filipe,CV,14.9,-24.5,10/05/20,            78.21,66,4,6.55
3347019,Mossamedes,AO,-15.2,12.15,10/05/20,            65.66,71,0,5.1
6170031,Tuktoyaktuk,CA,69.45,-133.04,10/05/20,            35.6,93,90,12.75
3874787,Punta Arenas,CL,-53.15,-70.92,10/05/20,            48.2,45,75,32.21
2094342,Kavieng,PG,-2.57,150.8,10/05/20,            82.18,76,100,13.62
241131,Victoria,SC,-4.62,55.45,10/05/20,            80.6,83,20,5.82
3932145,Pisco,PE,-13.7,-76.22,10/05/20,            65.68,72,40,11.41
615460,Pitsunda,GE,43.16,40.34,10/05/20,            64.4,82,75,6.71
2074865,Carnarvon,AU,-24.87,113.63,10/05/20,            51.8,37,0,8.05
3652764,Puerto Ayora,EC,-0.74,-90.35,10/05/20,            72.57,60,0,19.46
2075265,Busselton,AU,-33.65,115.33,10/05/20,            48.16,55,100,8.23
1262715,Moth,IN,25.72,78.95,10/05/20,            78.71,29,7,4.9
2134814,Sola,VU,-13.88,167.55,10/05/20,            78.8,88,40,15.26
6620339,Karratha,AU,-20.74,116.85,10/05/20,            60.57,30,0,17.78
5954718,Flin Flon,CA,54.77,-101.86,10/05/20,            57.2,47,75,13.87
3418910,Upernavik,GL,72.79,-56.15,10/05/20,            25.75,90,18,4.5
1282256,Hithadhoo,MV,-0.6,73.08,10/05/20,            82.44,71,100,11.63
3430863,Mar del Plata,AR,-38,-57.56,10/05/20,            51.8,81,75,8.05
4030556,Rikitea,PF,-23.12,-134.97,10/05/20,            73.83,80,100,15.57
2017155,Saskylakh,RU,71.92,114.08,10/05/20,            20.39,94,100,1.92
3454628,Peçanha,BR,-18.55,-42.56,10/05/20,            83.52,46,8,8.3
4944903,Nantucket,US,41.28,-70.1,10/05/20,            59,82,20,16.11
3369157,Cape Town,ZA,-33.93,18.42,10/05/20,            60.21,87,20,13.87
3424607,Tasiilaq,GL,65.61,-37.64,10/05/20,            35.6,95,100,4.7
3443061,Chui,UY,-33.7,-53.46,10/05/20,            64.49,65,4,18.59
5859699,College,US,64.86,-147.8,10/05/20,            36.07,74,75,0.76
2537881,Safi,MA,32.3,-9.24,10/05/20,            67.98,72,0,24.4
5880054,Barrow,US,71.29,-156.79,10/05/20,            33.8,80,90,13.87
2194098,Ahipara,NZ,-35.17,173.17,10/05/20,            54.72,87,100,2.15
3838859,Río Gallegos,AR,-51.62,-69.22,10/05/20,            59,47,75,14.99
2357163,Nouna,BF,12.73,-3.87,10/05/20,            84.72,61,7,9.31
